X;Y;ID;NOMBRE;LAZO_AMBIENTAL;NOMBRE_ABREVIADO;DIRECCION;DIRECCION_NORMALIZADA;DISTRITO;NIVEL;GESTION;MODALIDAD;TEMATICAS;ESTADO;BARRIO;COMUNA;OBSERVACIONES
-58.444003904889847;-34.56582998878384;48;ARLENE FERN - NIVEL INICIAL;1;A 1173;ARRIBEÑOS 1300;ARRIBEÑOS 1300;9;INICIAL;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS - BIODIVERSIDAD - HUERTA;SE POSTULO EN 2017;PALERMO;COMUNA 14;
-58.408022700410946;-34.623440236651369;227;COLEGIO ARGENTINO ARABE OMAR BIN AL JATTAB - A 1120 - SECUNDARIA;3;A -1120;HUMBERTO 1° 3046;HUMBERTO 1° 3046;6;SECUNDARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS - BIODIVERSIDAD & ESPACIOS VERDES - GESTION DE RECUSO HIDRICO;POSTULADOS ANTES DE 2017;SAN CRISTOBAL;COMUNA 03;
-58.405519494693614;-34.595091726141618;78;CCI - SCUOLA EDMONDO DE AMICIS - NIVEL INICIAL;1;A 596;DR. NORBERTO QUIRNO COSTA 1260;QUIRNO COSTA, NORBERTO, DR. 1260;2;INICIAL;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS - AGUA;SE POSTULO EN 2017;RECOLETA;COMUNA 02;
-58.405519494693614;-34.595091726141618;77;CCI - SCUOLA EDMONDO DE AMICIS - NIVEL PRIMARIO;1;A 595;QUIRNO COSTA 1260;QUIRNO COSTA, NORBERTO, DR. 1260;2;PRIMARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS - HUERTA;SE POSTULO EN 2017;RECOLETA;COMUNA 02;
-58.405955911299188;-34.641467973065438;170;CBO N° 1 DE 5;3;CBO 01;LOS PATOS 3080;LOS PATOS 3080;5;SECUNDARIA;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS - HUERTA ESCOLAR-BIODIVERSIDAD & ESPACIOS VERDES - GESTION DE RECURSO HIDRICO - EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES - PARTICIPACION CIUDADANA;POSTULADOS ANTES DE 2017;PARQUE PATRICIOS;COMUNA 04;
-58.465432650008644;-34.593395064919974;174;CENS 10 DE 14;2;CENS 10 FCEN;BALBOA 210;ESMERALDA 55;14;SECUNDARIA;ESTATAL;ADULTOS;GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;SAN NICOLAS;COMUNA 01;
-58.488166974601164;-34.68359084623188;28;CENTRO COMUNITARIO SAN CAYETANO - NIVEL INICIAL;1;A 1266;CALLE LOS CEDROS MANZANA 3 CASA 7 Y 8 BARRIO INTA VILLA 19 CABA;;21;INICIAL;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS;SE POSTULO EN 2017;VILLA LUGANO;COMUNA 08;
-58.457081002329105;-34.632529803895508;184;COLEGIO NTRA. SRA. DE LA MISERICORDIA (A 58 FLORES) - NIVEL PRIMARIO - A 58;2;A - 58;AVDA. DIRECTORIO 2138;DIRECTORIO AV. 2138;11;PRIMARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS - GESTION DE RECURSO HIDRICO;RATIFICO EN 2017;FLORES;COMUNA 07;LAZO AMBIENTAL 2015: 1
-58.408081128706009;-34.623539670428656;18;COLEGIO ARGENTINO ARABE OMAR BIN AL JATTAB - NIVEL INICIAL;2;A 1120;HUMBERTO 1° 3052;HUMBERTO 1° 3052;6;INICIAL;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS -  VIDA SALUDABLE;SE POSTULO EN 2017;SAN CRISTOBAL;COMUNA 03;
-58.405588626925585;-34.578193103525557;211;COLEGIO BAYARD A - 435;1;A - 435;CASTEX 3348;CASTEX 3348;1;PRIMARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS;RATIFICO EN 2017;PALERMO;COMUNA 14;
